timestamp,x,y,z
0,-4.44,1.37,4.52
10,-4.94,1.59,4.24
20,-4.83,1.41,3.97
30,-4.7,1.6,3.47
40,-4.29,1.75,3.05
50,-4.05,1.95,2.51
60,-4.13,2.25,1.66
70,-4.75,2.33,0.92
80,-5.42,2.19,0.74
90,-6.05,1.92,0.88
100,-6.18,2.03,0.46
110,-6.82,1.72,0.14
120,-7.2,1.19,-0.5
130,-8.27,0.23,-1.57
140,-10.01,-0.95,-2.04
150,-12.86,-3.33,-1.65
160,-16.33,-5.31,-0.85
170,-19.18,-6.84,0.36
180,-21.38,-7.82,2.11
190,-23.08,-8.31,3.43
200,-23.63,-8.4,3.99
210,-22.02,-8.51,4.93
220,-18.06,-8.53,6.57
230,-13.21,-8.26,8.76
240,-8.35,-8.04,11.42
250,-3.69,-7.61,13.92
260,0.25,-6.85,15.67
270,1.57,-6.31,17.17
280,0.76,-5.51,18.18
290,-0.14,-5.31,19.86
300,-0.8,-5.57,21.27
310,-1.13,-5.73,21.28
320,-0.47,-5.71,21.07
330,1.26,-5.59,20.77
340,3.57,-5.19,20.25
350,6.26,-4.48,19.83
360,9.33,-3.2,18.59
370,11.35,-2.47,18.25
380,12.54,-1.22,17.48
390,13.46,0.13,14.67
400,14.62,1.13,11.43
410,16.01,2.21,8.61
420,16.81,3.0,5.44
430,17.21,3.94,3.3
440,17.04,3.71,2.11
450,16.16,3.44,1.41
460,14.98,2.87,1.01
470,12.94,1.78,0.74
480,11.28,0.73,0.66
490,9.45,-0.19,1.02
500,8.46,-1.02,1.32
510,7.7,-1.6,0.76
520,7.01,-2.06,-0.4
530,6.25,-2.46,-1.53
540,5.58,-2.81,-1.98
550,5.2,-3.16,-2.27
560,4.88,-3.39,-2.47
570,4.62,-3.76,-1.93
580,3.92,-3.99,-1.2
590,2.96,-4.08,-0.21
600,1.99,-4.11,0.97
610,1.11,-4.09,2.3
620,0.85,-4.0,3.25
630,0.76,-4.18,3.74
640,0.33,-4.65,4.21
650,-0.61,-5.4,4.9
660,-1.6,-6.22,5.15
670,-3.09,-7.02,5.36
680,-5.32,-7.5,5.49
690,-7.61,-7.72,4.77
700,-9.88,-7.64,3.9
710,-12.14,-7.44,3.22
720,-14.06,-7.26,2.93
730,-15.53,-6.82,2.57
740,-16.17,-6.5,2.47
750,-16.7,-6.12,3.02
760,-17.04,-5.5,3.5
770,-16.97,-4.83,3.46
780,-17.01,-4.14,3.78
790,-17.26,-3.3,4.25
800,-17.76,-2.55,4.65
810,-18.21,-2.19,5.74
820,-19.15,-1.87,6.2
830,-20.2,-2.11,6.97
840,-20.82,-2.62,8.26
850,-21.01,-3.04,9.2
860,-20.09,-3.38,9.81
870,-17.75,-3.67,10.35
880,-14.36,-3.71,10.49
890,-11.09,-3.5,10.24
900,-7.97,-3.0,10.09
910,-4.54,-2.26,10.89
920,-1.63,-1.45,13.12
930,0.78,-0.91,15.17
940,1.81,-0.39,18.13
950,3.85,-0.06,21.61
960,7.67,0.2,24.67
970,10.65,0.51,25.83
980,12.38,0.52,25.82
990,13.24,0.4,24.86
1000,13.44,0.38,23.8
