timestamp,x,y,z
0,-5.52,5.04,6.98
10,-5.11,5.17,6.63
20,-4.79,5.21,6.33
30,-4.07,5.35,6.33
40,-3.93,5.26,6.23
50,-3.93,5.24,5.94
60,-3.74,5.37,5.8
70,-3.37,5.53,5.66
80,-2.77,5.71,6.35
90,-2.16,6.05,8.0
100,-1.55,6.44,9.3
110,-0.86,6.6,9.67
120,-0.37,6.37,10.16
130,-0.17,5.98,9.91
140,-0.15,5.88,8.76
150,-0.29,5.23,7.92
160,-0.47,4.67,6.96
170,-0.37,4.29,6.12
180,-0.45,3.92,5.16
190,-0.65,3.57,4.21
200,-0.97,3.02,3.55
210,-1.05,2.54,3.14
220,0.02,1.7,2.95
230,1.18,1.37,1.71
240,2.2,2.12,-1.8
250,4.08,2.74,-4.49
260,5.73,3.34,-7.66
270,6.42,2.76,-10.74
280,5.52,1.29,-12.62
290,3.15,-0.7,-12.74
300,1.19,-2.68,-12.38
310,-0.31,-4.32,-11.72
320,-1.11,-5.56,-10.59
330,-1.34,-6.21,-9.26
340,-0.41,-6.48,-8.81
350,1.24,-6.51,-8.32
360,2.9,-6.64,-6.99
370,4.43,-6.89,-4.03
380,5.96,-7.03,1.13
390,8.15,-6.93,8.46
400,9.13,-6.61,15.7
410,9.41,-6.48,21.84
420,7.19,-7.16,27.05
430,5.24,-9.22,34.14
440,1.03,-9.27,33.42
450,-3.62,-9.55,32.25
460,-5.71,-8.15,26.78
470,-2.07,-7.69,25.5
480,-3.66,-6.75,22.44
490,-7.37,-3.05,15.74
500,-6.31,-2.83,14.3
510,-4.37,-2.03,12.14
520,-2.6,-0.85,8.7
530,-3.56,-0.56,6.58
540,-4.58,-0.52,6.52
550,-5.1,-0.82,8.29
560,-5.69,-1.01,10.52
570,-6.98,-1.12,13.12
580,-7.83,-0.98,15.93
590,-6.35,-0.27,19.26
600,-3.57,0.38,23.55
610,-1.72,1.26,25.16
620,-1.67,2.14,24.44
630,-1.96,2.33,23.92
640,-2.82,2.1,23.59
650,-3.03,1.42,24.05
660,-2.82,0.53,24.38
670,-2.24,-0.64,24.58
680,-1.43,-1.83,23.82
690,-0.09,-3.26,22.12
700,0.96,-4.81,19.72
710,1.87,-6.35,17.59
720,2.19,-7.73,15.28
730,2.45,-8.87,13.1
740,2.82,-9.46,10.14
750,2.86,-9.96,7.16
760,2.14,-10.52,4.5
770,1.11,-10.51,1.44
780,0.36,-10.32,-1.54
790,-0.25,-10.03,-3.88
800,-1.35,-9.23,-6.4
810,-2.37,-8.31,-8.02
820,-3.4,-7.38,-8.8
830,-4.16,-6.52,-8.74
840,-4.5,-5.57,-8.12
850,-4.79,-4.66,-7.52
860,-4.63,-3.86,-5.96
870,-4.37,-2.99,-4.79
880,-4.03,-2.17,-3.68
890,-3.62,-1.12,-2.69
900,-3.02,0.17,-1.52
910,-2.16,1.5,-0.28
920,-1.7,2.52,0.6
930,-2.12,3.28,1.23
940,-2.56,3.94,1.62
950,-2.78,4.45,1.81
960,-3.12,4.72,2.27
970,-3.7,5.02,2.95
980,-4.33,5.26,3.87
990,-4.92,5.43,4.9
1000,-4.93,5.59,5.55
