timestamp,x,y,z
0,-10.94,3.01,1.79
10,-11.31,2.8,2.18
20,-12.21,2.53,2.95
30,-12.94,2.36,3.7
40,-13.75,2.32,4.4
50,-14.2,2.2,5.31
60,-14.47,2.1,6.11
70,-13.79,1.98,6.85
80,-12.26,1.85,7.79
90,-10.44,1.85,8.26
100,-8.66,1.85,8.08
110,-6.41,2.08,8.01
120,-3.71,2.51,7.97
130,-1.08,3.16,8.0
140,1.22,3.76,7.85
150,3.48,4.68,7.26
160,5.33,5.74,6.32
170,7.36,6.93,5.19
180,11.1,7.97,3.83
190,11.82,9.17,2.9
200,12.76,10.1,2.89
210,13.8,10.41,4.17
220,15.13,10.37,5.61
230,15.76,10.13,6.37
240,15.75,9.59,6.38
250,15.09,8.9,6.22
260,14.15,8.15,6.08
270,13.37,7.46,6.2
280,12.94,7.21,6.81
290,13.0,7.16,8.06
300,13.25,6.91,9.39
310,13.38,6.47,9.95
320,13.5,6.09,9.98
330,13.63,5.54,9.58
340,13.17,4.66,8.81
350,12.42,3.49,7.64
360,11.11,1.79,6.77
370,9.74,-0.22,6.12
380,8.07,-2.38,5.98
390,6.19,-4.76,6.45
400,3.9,-7.05,7.42
410,1.97,-9.66,8.74
420,-1.9,-12.36,9.34
430,-5.54,-15.02,9.54
440,-9.63,-17.65,8.32
450,-14.77,-19.59,7.38
460,-21.13,-21.24,7.33
470,-28.33,-21.67,7.53
480,-30.82,-21.15,7.83
490,-33.29,-19.41,6.97
500,-29.96,-17.92,5.98
510,-27.57,-16.15,4.32
520,-25.42,-15.04,2.21
530,-23.79,-14.09,-0.17
540,-22.29,-13.08,-1.75
550,-21.09,-12.42,-1.22
560,-21.16,-11.97,-0.72
570,-19.53,-11.99,0.04
580,-17.88,-11.62,1.08
590,-15.99,-11.59,2.55
600,-13.82,-11.55,3.67
610,-11.54,-11.42,4.21
620,-9.58,-11.36,4.7
630,-7.83,-11.12,4.9
640,-5.91,-10.98,4.75
650,-2.41,-10.12,4.85
660,1.68,-9.74,6.62
670,7.53,-8.06,8.58
680,13.93,-5.52,11.05
690,19.07,-2.13,14.09
700,23.28,1.81,15.12
710,29.81,4.21,19.29
720,31.34,8.16,17.98
730,29.44,9.32,22.6
740,27.22,10.12,24.53
750,25.84,10.42,23.04
760,24.16,10.79,20.19
770,23.58,10.7,17.94
780,22.78,10.24,16.68
790,20.92,9.1,15.8
800,19.68,7.43,15.07
810,18.04,6.3,13.42
820,16.2,4.88,11.72
830,14.31,3.53,10.16
840,13.06,2.28,8.85
850,12.02,1.25,7.61
860,11.23,0.32,6.9
870,10.69,-0.94,7.83
880,9.7,-2.23,8.51
890,8.21,-3.71,9.18
900,6.43,-5.41,10.14
910,4.1,-7.24,11.83
920,1.02,-9.71,14.06
930,-2.56,-12.55,17.56
940,-3.78,-14.95,15.18
950,-7.27,-16.97,13.27
960,-11.17,-19.4,11.85
970,-15.63,-20.56,10.13
980,-20.66,-20.55,8.75
990,-24.62,-20.24,8.44
1000,-25.96,-19.0,7.35
