timestamp,x,y,z
0,-6.3,1.47,2.8
10,-6.29,1.44,2.93
20,-6.39,1.44,3.28
30,-6.17,1.2,3.16
40,-6.16,1.03,2.4
50,-6.04,0.81,1.77
60,-6.35,0.56,1.51
70,-6.68,0.24,1.27
80,-7.08,-0.11,1.06
90,-7.63,-0.51,0.98
100,-8.2,-0.78,0.65
110,-9.05,-1.24,0.0
120,-9.84,-1.87,-1.08
130,-10.75,-2.94,-3.09
140,-10.86,-4.79,-3.77
150,-12.01,-5.66,-4.67
160,-13.11,-6.79,-4.42
170,-13.7,-7.72,-2.88
180,-13.47,-8.39,-0.55
190,-12.91,-9.1,2.47
200,-11.83,-9.47,5.6
210,-10.35,-9.5,7.11
220,-9.07,-9.83,6.94
230,-8.82,-10.23,7.56
240,-7.88,-11.17,9.73
250,-7.36,-11.76,12.47
260,-6.27,-12.06,16.09
270,-4.01,-12.44,21.19
280,-1.79,-12.71,27.06
290,-0.36,-12.33,30.21
300,0.26,-12.25,31.99
310,0.4,-12.07,31.95
320,1.11,-11.15,27.79
330,3.5,-8.53,20.19
340,1.65,-7.55,21.37
350,3.03,-6.84,20.69
360,5.05,-5.92,19.35
370,6.85,-4.72,17.73
380,9.81,-3.68,16.5
390,12.42,-2.74,15.94
400,13.96,-1.88,14.61
410,15.08,-1.04,11.87
420,14.94,-0.61,9.81
430,14.42,-0.17,7.41
440,13.95,0.36,4.29
450,12.9,0.49,1.79
460,11.34,0.54,0.58
470,10.37,0.73,0.01
480,9.61,0.79,0.01
490,9.16,0.61,0.14
500,8.6,0.5,-0.16
510,7.88,0.48,-0.92
520,7.2,0.22,-1.4
530,6.84,-0.07,-2.3
540,6.23,-0.28,-3.55
550,5.51,-0.49,-5.11
560,4.53,-0.53,-6.72
570,3.05,-0.43,-8.31
580,0.94,-0.45,-9.45
590,-0.5,-0.44,-10.17
600,-1.7,-0.38,-11.29
610,-2.26,-0.37,-12.84
620,-2.38,-0.71,-14.27
630,-3.33,-1.6,-15.18
640,-4.25,-3.22,-14.98
650,-2.31,-4.76,-15.62
660,-4.24,-6.71,-12.17
670,-7.95,-8.96,-7.96
680,-10.46,-10.55,-4.82
690,-12.47,-12.0,-1.98
700,-15.56,-13.2,1.56
710,-18.22,-13.9,4.26
720,-19.58,-13.93,5.2
730,-19.78,-13.7,4.82
740,-19.26,-13.36,3.99
750,-18.04,-13.06,3.11
760,-16.73,-12.71,2.83
770,-16.06,-12.42,3.48
780,-15.63,-11.98,4.41
790,-15.31,-11.5,5.76
800,-14.57,-10.92,7.88
810,-13.68,-9.72,10.56
820,-12.87,-8.85,8.62
830,-14.64,-11.43,13.51
840,-11.02,-7.4,6.34
850,-8.92,-10.95,17.57
860,-7.75,-9.78,25.33
870,-6.17,-7.0,23.5
880,-4.16,-6.82,26.61
890,-2.54,-6.69,33.44
900,-0.62,-7.27,39.04
910,2.09,-5.43,35.06
920,2.72,-4.88,33.21
930,3.63,-4.69,30.79
940,5.63,-4.34,27.3
950,8.29,-3.92,23.96
960,9.67,-3.57,22.37
970,10.75,-3.09,20.17
980,11.42,-2.56,17.42
990,11.26,-2.08,15.24
1000,11.3,-2.06,13.6
