timestamp,x,y,z
0,-9.71,4.14,5.2
10,-9.43,3.88,5.58
20,-8.79,3.82,5.8
30,-8.24,3.64,6.2
40,-7.9,3.64,6.86
50,-7.9,3.92,8.02
60,-7.85,4.13,9.81
70,-7.35,4.53,11.64
80,-6.5,5.07,12.91
90,-5.49,5.64,13.26
100,-4.42,5.96,13.37
110,-3.17,6.0,13.18
120,-2.83,5.93,12.06
130,-2.76,6.39,8.93
140,-2.32,5.55,8.24
150,-2.5,4.67,7.26
160,-2.2,3.87,6.3
170,-2.27,3.29,5.48
180,-2.15,2.84,4.65
190,-1.27,2.58,3.87
200,-0.82,2.18,3.06
210,-0.09,1.92,1.84
220,0.58,2.0,0.1
230,1.43,2.12,-1.99
240,2.11,2.05,-3.96
250,2.04,1.84,-5.31
260,2.06,1.66,-6.08
270,2.7,1.33,-6.1
280,3.35,1.02,-5.37
290,3.6,0.6,-4.1
300,4.18,0.09,-3.19
310,4.13,-0.23,-2.35
320,3.66,-0.52,-1.71
330,3.4,-0.98,-1.47
340,3.16,-1.44,-1.33
350,2.78,-1.76,-0.98
360,2.43,-1.96,-0.11
370,2.3,-1.95,1.09
380,2.77,-1.6,2.95
390,3.2,-1.27,5.57
400,3.62,-0.64,7.93
410,3.75,-0.04,9.44
420,3.79,0.29,10.33
430,3.34,0.47,10.82
440,2.74,0.57,11.26
450,2.08,0.79,11.65
460,1.66,1.24,11.6
470,1.3,1.57,11.72
480,0.62,1.84,11.91
490,0.04,1.97,12.4
500,-0.34,1.87,13.39
510,-1.07,0.13,14.51
520,-1.93,4.14,10.38
530,0.83,0.51,14.32
540,-1.73,0.73,16.65
550,-3.61,2.94,11.83
560,-2.09,-0.86,16.14
570,-3.87,-0.77,17.76
580,-5.39,0.63,15.93
590,-3.88,1.19,15.41
600,-2.44,1.8,15.67
610,-2.57,1.93,16.22
620,-3.36,1.89,16.66
630,-3.53,1.88,16.72
640,-2.95,1.72,16.77
650,-2.49,1.69,16.37
660,-2.17,1.79,15.61
670,-1.81,1.91,14.76
680,-1.25,2.3,13.64
690,-1.09,2.9,12.46
700,-0.91,3.38,11.96
710,-1.28,3.57,12.07
720,-1.6,3.61,12.5
730,-1.39,3.53,13.03
740,-1.25,3.23,13.1
750,-1.48,2.74,12.98
760,-1.7,2.16,13.07
770,-1.7,1.38,13.4
780,-1.92,0.25,13.69
790,-2.4,-0.79,13.55
800,-2.94,-2.07,13.31
810,-3.35,-3.15,12.53
820,-3.82,-3.89,11.32
830,-4.02,-4.53,10.15
840,-3.99,-4.96,8.86
850,-4.06,-5.33,7.66
860,-4.26,-5.5,6.56
870,-4.45,-5.5,5.49
880,-4.41,-5.28,4.41
890,-4.28,-4.92,3.28
900,-3.97,-4.46,2.14
910,-3.76,-3.96,1.13
920,-3.52,-3.62,0.42
930,-3.38,-3.35,0.03
940,-3.73,-3.11,-0.26
950,-4.19,-3.04,-0.23
960,-4.65,-2.91,-0.01
970,-4.92,-2.65,0.36
980,-4.83,-2.16,0.81
990,-4.65,-1.63,1.07
1000,-4.81,-1.07,1.35
