timestamp,x,y,z
0,-5.84,4.69,5.35
10,-5.91,4.68,5.32
20,-5.88,4.65,5.3
30,-5.81,4.68,5.07
40,-5.56,4.68,4.68
50,-5.62,4.79,4.27
60,-5.49,4.85,3.89
70,-5.24,5.04,3.22
80,-5.37,5.46,2.65
90,-4.97,5.91,1.42
100,-4.21,6.15,-0.49
110,-4.11,5.8,-2.06
120,-4.48,5.0,-3.21
130,-6.02,3.73,-3.71
140,-7.92,2.28,-3.66
150,-9.78,0.54,-2.48
160,-13.7,-1.45,-1.53
170,-17.08,-3.1,-0.55
180,-20.1,-4.73,-0.2
190,-22.87,-5.67,-0.16
200,-24.02,-6.59,0.91
210,-23.57,-7.18,2.02
220,-21.83,-7.55,3.11
230,-20.02,-8.0,4.53
240,-18.05,-8.23,6.38
250,-16.72,-8.52,8.41
260,-15.64,-8.62,10.02
270,-14.26,-8.46,10.4
280,-12.45,-8.27,10.52
290,-9.44,-8.27,11.11
300,-6.04,-7.92,12.12
310,-1.79,-6.52,12.84
320,3.48,-4.87,13.41
330,9.33,-2.54,13.75
340,16.46,1.49,12.56
350,22.62,4.71,13.09
360,26.48,8.92,10.93
370,33.86,12.45,3.48
380,34.41,13.67,2.25
390,30.39,13.02,5.4
400,26.22,11.77,8.22
410,24.2,10.62,9.53
420,22.91,9.52,9.73
430,22.03,8.49,8.82
440,20.8,7.5,7.62
450,19.61,6.56,6.6
460,18.66,5.78,6.13
470,17.95,5.15,6.0
480,17.38,4.27,5.87
490,16.89,3.51,5.02
500,15.99,2.51,4.3
510,14.66,1.35,3.6
520,13.13,-0.21,2.91
530,10.96,-2.21,2.4
540,8.52,-4.65,2.68
550,5.5,-7.59,4.13
560,2.1,-11.18,7.77
570,-0.93,-14.69,11.24
580,-4.35,-18.25,11.51
590,-16.81,-20.66,16.88
600,-19.18,-22.41,11.42
610,-25.36,-22.98,6.53
620,-31.15,-22.18,4.07
630,-32.62,-20.61,3.45
640,-31.1,-19.19,2.22
650,-31.77,-17.81,0.56
660,-29.3,-16.79,-0.54
670,-27.68,-16.19,-1.83
680,-27.51,-15.26,-3.62
690,-26.92,-14.23,-5.15
700,-25.2,-13.7,-5.14
710,-22.92,-13.69,-3.95
720,-20.31,-14.21,-2.15
730,-17.52,-14.58,-0.16
740,-14.93,-15.19,2.52
750,-12.51,-15.81,5.15
760,-10.36,-16.2,7.11
770,-7.81,-15.94,8.14
780,-4.68,-15.62,8.63
790,-0.85,-14.56,8.99
800,4.17,-13.02,9.64
810,11.43,-9.4,10.4
820,22.13,-7.42,18.32
830,24.84,-3.75,23.69
840,27.39,1.45,25.59
850,26.82,4.99,24.27
860,25.83,6.07,24.87
870,26.17,7.28,25.51
880,26.48,8.45,25.91
890,26.92,8.96,25.92
900,26.82,9.25,24.19
910,25.7,9.43,21.03
920,23.66,9.22,17.26
930,21.42,8.52,13.83
940,19.56,7.64,10.67
950,17.18,6.22,8.32
960,14.87,4.67,6.42
970,12.59,3.56,4.97
980,11.05,3.14,2.72
990,9.69,2.47,2.08
1000,8.8,1.57,3.57
