timestamp,x,y,z
0,-4.61,1.48,4.48
10,-4.31,1.48,4.41
20,-4.23,1.47,4.22
30,-4.33,1.37,3.94
40,-4.52,1.3,3.48
50,-4.43,1.34,2.57
60,-4.13,1.31,1.5
70,-4.17,1.1,1.3
80,-4.75,1.28,1.17
90,-5.28,0.83,0.89
100,-4.62,0.79,1.81
110,-3.79,1.21,2.88
120,-2.74,1.42,3.78
130,-1.19,1.54,5.31
140,-0.75,1.53,6.59
150,-1.28,1.47,6.71
160,-1.59,1.07,6.02
170,-2.52,0.39,5.35
180,-3.52,-0.43,4.6
190,-4.81,-0.81,4.28
200,-5.55,-1.13,4.51
210,-5.94,-1.36,5.58
220,-6.97,-1.86,6.88
230,-8.92,-2.75,7.89
240,-10.74,-3.93,7.88
250,-12.27,-5.5,6.97
260,-14.12,-7.95,5.35
270,-17.21,-11.02,3.53
280,-21.61,-13.77,2.36
290,-26.35,-15.68,2.53
300,-29.11,-16.54,4.92
310,-28.88,-16.29,8.6
320,-24.72,-15.66,11.71
330,-16.6,-13.53,15.32
340,-6.28,-11.48,22.51
350,3.12,-8.74,30.07
360,10.37,-6.03,33.27
370,12.27,-3.96,33.13
380,9.83,-2.73,31.73
390,6.59,-2.22,29.31
400,4.78,-2.08,26.51
410,4.85,-1.98,23.56
420,5.68,-1.88,20.82
430,7.69,-1.79,18.47
440,8.7,-1.73,15.61
450,10.2,-1.2,13.65
460,11.78,-1.19,11.72
470,11.69,-0.77,7.92
480,11.14,-0.58,5.63
490,10.69,-0.5,4.81
500,9.66,-0.53,3.81
510,8.46,-0.61,2.07
520,7.42,-0.63,0.23
530,6.58,-0.57,-0.97
540,5.57,-0.55,-1.38
550,5.14,-0.43,-1.35
560,4.8,-0.4,-1.19
570,4.51,-0.59,-1.28
580,4.28,-0.64,-1.29
590,4.39,-0.72,-1.35
600,3.76,-0.81,-1.44
610,2.25,-0.96,-1.64
620,1.09,-1.05,-2.96
630,0.28,-1.01,-5.15
640,-0.55,-1.03,-6.44
650,-1.34,-1.09,-6.87
660,-1.72,-1.18,-7.21
670,-2.12,-1.59,-7.44
680,-2.72,-2.41,-7.38
690,-3.73,-3.62,-7.12
700,-5.05,-4.92,-6.92
710,-6.81,-6.3,-6.75
720,-9.13,-7.66,-6.61
730,-11.54,-8.8,-6.24
740,-13.78,-9.42,-5.87
750,-15.61,-9.91,-5.42
760,-17.38,-10.42,-5.04
770,-18.38,-11.1,-4.93
780,-18.34,-11.57,-4.71
790,-18.12,-12.14,-3.88
800,-18.48,-12.51,-2.86
810,-19.56,-12.77,-1.26
820,-20.74,-12.72,1.31
830,-21.16,-12.2,3.85
840,-20.44,-11.53,6.01
850,-18.67,-10.88,8.15
860,-16.25,-10.22,10.42
870,-13.82,-9.56,13.01
880,-11.89,-8.74,15.88
890,-9.84,-8.37,17.77
900,-12.78,-7.52,18.22
910,-9.68,-8.07,24.9
920,-8.63,-8.33,31.85
930,-7.8,-7.07,32.31
940,-6.2,-6.13,31.57
950,-4.04,-5.7,32.19
960,-0.81,-4.95,31.04
970,2.66,-3.64,27.74
980,5.06,-2.61,25.51
990,6.03,-2.01,23.51
1000,5.8,-1.72,20.77
