timestamp,x,y,z
0,-8.81,5.45,2.96
10,-8.57,4.97,3.45
20,-9.29,4.37,4.13
30,-9.75,3.85,4.83
40,-9.84,3.45,5.23
50,-9.12,3.14,5.41
60,-8.31,2.98,5.14
70,-7.13,2.92,4.97
80,-5.19,2.7,5.69
90,-2.66,2.82,6.58
100,-0.06,3.14,7.15
110,2.33,3.59,6.85
120,5.06,3.58,5.67
130,6.98,2.56,4.12
140,7.66,0.89,2.81
150,8.16,-1.06,1.87
160,8.74,-3.6,0.73
170,9.4,-6.47,0.6
180,10.18,-9.57,1.65
190,10.44,-12.34,2.34
200,9.63,-15.72,2.8
210,6.98,-19.29,3.65
220,4.31,-22.71,4.73
230,1.19,-25.17,6.07
240,-1.83,-25.62,6.7
250,-3.68,-24.99,5.3
260,-4.78,-23.38,4.24
270,-2.37,-21.34,4.66
280,0.35,-18.73,5.3
290,1.79,-15.54,6.85
300,1.64,-12.13,7.5
310,2.77,-9.83,9.75
320,1.7,-6.01,9.75
330,-0.55,-2.4,11.42
340,-2.63,1.54,13.39
350,-3.57,5.39,14.49
360,-5.59,8.14,15.64
370,-9.26,9.76,17.42
380,-12.08,11.55,19.96
390,-10.61,15.75,20.34
400,-3.52,17.95,23.67
410,-3.73,22.15,23.92
420,-3.62,25.97,21.15
430,-0.45,27.32,19.9
440,0.6,27.03,18.88
450,0.36,25.51,17.02
460,0.46,22.77,14.71
470,0.71,19.13,12.17
480,0.19,15.54,9.09
490,-0.7,12.1,7.11
500,-2.13,8.81,7.1
510,-3.63,5.54,8.03
520,-5.51,2.59,8.27
530,-7.19,0.03,8.38
540,-10.82,-2.16,7.85
550,-13.32,-3.37,6.21
560,-11.55,-3.82,3.23
570,-7.49,-4.72,1.34
580,-1.52,-5.9,2.68
590,5.6,-7.0,7.11
600,13.31,-8.71,13.5
610,18.35,-11.16,16.97
620,17.27,-13.87,16.6
630,16.47,-17.48,11.67
640,12.19,-20.46,6.33
650,7.0,-23.22,3.1
660,0.48,-24.47,2.46
670,-7.3,-23.65,3.5
680,-10.99,-22.08,4.34
690,-11.26,-19.32,5.01
700,-9.06,-16.01,5.01
710,-5.71,-13.12,4.86
720,-3.75,-10.02,5.22
730,-1.33,-7.85,6.46
740,-2.21,-5.92,6.39
750,-0.45,-3.84,5.49
760,0.81,-2.19,5.65
770,0.95,-0.98,6.09
780,0.41,-0.16,6.44
790,-0.82,0.34,6.25
800,-1.87,0.77,6.26
810,-2.48,1.15,5.84
820,-2.68,1.14,5.42
830,-2.8,1.2,5.25
840,-2.67,1.27,5.23
850,-2.81,1.37,5.01
860,-2.37,1.18,5.41
870,-2.05,1.1,6.0
880,-1.92,0.99,6.52
890,-1.5,0.83,7.06
900,-1.04,0.54,7.62
910,-0.75,0.13,7.94
920,-0.92,-0.28,8.19
930,-1.22,-0.62,8.36
940,-1.45,-0.94,8.33
950,-1.74,-1.27,8.09
960,-2.07,-1.53,7.94
970,-2.15,-1.76,7.89
980,-2.19,-1.99,8.02
990,-2.39,-2.21,8.42
1000,-2.62,-2.46,8.77
