timestamp,x,y,z
0,-3.15,5.61,5.63
10,-3.05,5.65,5.5
20,-3.04,5.65,5.43
30,-3.15,5.56,5.41
40,-3.22,5.5,5.23
50,-3.29,5.44,5.11
60,-3.36,5.38,5.15
70,-3.35,5.41,5.21
80,-3.04,5.5,5.24
90,-2.99,5.52,5.25
100,-3.01,5.49,5.15
110,-3.11,5.48,5.07
120,-3.17,5.4,5.16
130,-3.01,5.33,5.39
140,-2.95,5.34,5.44
150,-2.84,5.26,5.59
160,-2.48,5.27,5.81
170,-2.6,5.12,5.57
180,-2.0,5.28,5.5
190,-2.11,5.33,5.32
200,-1.59,5.43,5.26
210,-1.82,5.35,5.07
220,-1.45,5.37,5.17
230,-1.48,5.22,4.88
240,-1.39,5.18,4.76
250,-1.23,5.11,4.92
260,-0.9,5.13,5.0
270,-0.38,5.28,5.2
280,0.09,5.03,4.89
290,-1.69,4.76,4.34
300,5.95,6.39,8.14
310,4.26,7.18,8.45
320,5.91,6.66,8.09
330,11.13,8.29,9.85
340,12.47,8.96,9.89
350,13.08,8.61,9.06
360,13.08,7.91,8.9
370,12.3,7.27,8.56
380,11.73,6.67,7.81
390,10.78,6.01,7.15
400,9.92,5.3,6.38
410,8.64,4.38,6.29
420,6.25,3.63,6.81
430,4.01,2.85,7.52
440,2.38,2.38,7.43
450,1.14,2.35,6.75
460,0.12,2.13,6.01
470,-0.97,1.83,5.18
480,-2.28,1.44,4.72
490,-3.97,0.84,4.94
500,-5.96,0.3,5.75
510,-7.49,0.04,6.28
520,-8.6,-0.15,6.39
530,-10.44,-0.5,5.85
540,-11.65,-0.73,5.52
550,-11.82,-0.79,5.53
560,-12.32,-0.85,5.77
570,-13.39,-1.04,5.97
580,-13.86,-1.1,5.86
590,-14.07,-0.96,5.31
600,-14.02,-0.74,4.14
610,-13.01,-0.42,3.55
620,-12.0,-0.32,3.71
630,-11.82,-0.04,3.05
640,-10.74,0.02,2.81
650,-9.32,0.35,2.92
660,-7.76,0.54,2.67
670,-6.72,0.46,2.6
680,-5.27,0.57,2.61
690,-4.78,0.14,2.62
700,-5.62,-0.23,2.47
710,-7.25,-0.6,2.82
720,-9.8,-0.97,3.43
730,-12.03,-1.48,4.64
740,-12.78,-1.73,5.48
750,-13.33,-1.78,6.92
760,-13.73,-2.34,7.07
770,-11.23,-3.38,8.86
780,-12.83,-1.3,7.36
790,-7.8,-1.62,9.44
800,-4.05,2.53,4.98
810,2.48,0.51,12.94
820,4.86,1.5,16.86
830,5.5,2.92,16.86
840,6.19,3.85,15.54
850,6.47,4.24,14.34
860,5.57,5.05,13.63
870,3.92,5.75,11.92
880,7.37,5.05,12.06
890,11.72,4.06,15.21
900,13.01,3.91,15.55
910,13.52,4.6,14.03
920,14.77,4.42,14.07
930,16.31,4.26,13.21
940,18.24,4.63,12.09
950,17.31,4.13,11.32
960,14.27,3.09,10.52
970,11.92,1.98,10.34
980,9.6,0.84,10.84
990,7.45,0.35,9.84
1000,5.99,0.82,8.54
